Time,ManagementArea,Prescription,HarvestedSites,CohortsHarvested_CaryOvat,CohortsHarvested_CaryAlba,CohortsHarvested_CornFlor,CohortsHarvested_FraxPenn,CohortsHarvested_FraxAmer,CohortsHarvested_FaguGran,CohortsHarvested_JuglNigr,CohortsHarvested_HaleDipt,CohortsHarvested_IlexOpac,CohortsHarvested_LiriTuli,CohortsHarvested_LiquStyr,CohortsHarvested_MagnAcum,CohortsHarvested_MagnMacr,CohortsHarvested_NyssSylv,CohortsHarvested_OxydArbo,CohortsHarvested_PrunSero,CohortsHarvested_PrunPenn,CohortsHarvested_PlanOcid,CohortsHarvested_QuerAlba,CohortsHarvested_QuerCocc,CohortsHarvested_QuerFalc,CohortsHarvested_QuerRubr,CohortsHarvested_QuerPrin,CohortsHarvested_QuerVelu,CohortsHarvested_QuerStel,CohortsHarvested_RobiPseu,CohortsHarvested_SassAlid,CohortsHarvested_TiliAmer,CohortsHarvested_TiliAmhe,CohortsHarvested_CaryGlab,CohortsHarvested_CaryCodi,CohortsHarvested_BetuNigr,CohortsHarvested_BetuLent,CohortsHarvested_BetuAlle,CohortsHarvested_AcerPens,CohortsHarvested_AmelArbo,CohortsHarvested_AescBuck,CohortsHarvested_AcerRubr,CohortsHarvested_AcerSacc,CohortsHarvested_TsugCana,CohortsHarvested_PinuVirg,CohortsHarvested_PinuTaed,CohortsHarvested_PinuStro,CohortsHarvested_PinuRigi,CohortsHarvested_PinuPung,CohortsHarvested_FrasFirr,CohortsHarvested_PiceRube,CohortsHarvested_PinuEnch,CohortsHarvested_CastDent,
10, 4, FarmClearings, 7056, 319, 2531, 22036, 190, 968, 5053, 0, 1474, 2752, 6195, 12, 771, 2075, 3714, 15304, 95, 0, 13, 22486, 1278, 1078, 2883, 17493, 1086, 3367, 0, 16, 52, 6, 439, 0, 0, 1, 0, 5617, 4326, 0, 11138, 12618, 3297, 16, 2, 46, 0, 3, 0, 0, 727, 42094, 
20, 4, FarmClearings, 6956, 308, 1708, 11279, 203, 564, 3082, 0, 902, 1534, 1662, 6, 485, 1375, 2802, 7801, 71, 0, 4, 9588, 770, 478, 2526, 8490, 658, 1845, 0, 28, 4, 0, 212, 0, 0, 0, 0, 4000, 2446, 0, 6844, 2306, 579, 1, 0, 9, 0, 0, 0, 0, 691, 11783, 
30, 4, FarmClearings, 5623, 215, 1163, 5008, 89, 502, 1353, 0, 532, 518, 654, 1, 191, 614, 1755, 2762, 24, 0, 1, 4958, 418, 157, 1893, 4211, 307, 717, 0, 10, 5, 0, 158, 0, 0, 0, 0, 2738, 1322, 0, 3805, 722, 188, 0, 0, 4, 0, 0, 0, 0, 208, 5606, 
40, 4, FarmClearings, 4967, 292, 924, 4298, 93, 405, 985, 0, 423, 331, 430, 0, 155, 527, 1515, 2153, 23, 0, 0, 4233, 344, 107, 1615, 3552, 212, 623, 0, 16, 1, 0, 101, 0, 0, 0, 0, 2130, 958, 0, 3000, 414, 91, 0, 0, 3, 0, 0, 0, 0, 107, 4387, 
50, 4, FarmClearings, 4531, 298, 969, 3733, 82, 362, 812, 0, 380, 278, 480, 3, 165, 481, 1245, 1798, 16, 0, 1, 4036, 311, 72, 1542, 3071, 195, 640, 0, 19, 1, 0, 86, 0, 0, 0, 0, 1727, 778, 0, 2289, 281, 68, 0, 0, 1, 0, 0, 0, 0, 51, 3658, 
60, 4, FarmClearings, 4325, 411, 965, 3501, 57, 342, 796, 0, 317, 231, 326, 2, 163, 442, 993, 1504, 19, 0, 1, 3768, 303, 60, 1750, 2993, 179, 550, 0, 13, 4, 2, 90, 0, 0, 0, 0, 1688, 777, 0, 2286, 309, 89, 0, 0, 6, 0, 0, 0, 0, 38, 3597, 
70, 4, FarmClearings, 4260, 478, 870, 3418, 36, 281, 707, 0, 228, 179, 208, 0, 116, 376, 890, 1361, 12, 0, 0, 3772, 223, 32, 1806, 3239, 174, 411, 0, 6, 8, 0, 60, 0, 0, 0, 0, 1557, 679, 0, 1900, 279, 69, 0, 0, 1, 0, 0, 0, 0, 28, 4001, 
80, 4, FarmClearings, 4170, 506, 1054, 3573, 40, 269, 779, 0, 239, 174, 402, 3, 154, 481, 783, 1458, 11, 0, 0, 3994, 246, 38, 1787, 2940, 172, 572, 0, 9, 2, 0, 85, 0, 0, 0, 0, 1552, 680, 0, 1991, 263, 55, 0, 0, 0, 0, 1, 0, 0, 20, 3563, 
90, 4, FarmClearings, 3999, 591, 907, 3430, 47, 253, 700, 0, 208, 128, 287, 0, 135, 378, 694, 1432, 7, 0, 0, 3809, 216, 18, 1838, 2868, 159, 519, 0, 8, 3, 1, 47, 0, 0, 0, 0, 1520, 604, 0, 1814, 245, 63, 0, 0, 0, 0, 0, 0, 0, 16, 3783, 
100, 4, FarmClearings, 4077, 661, 1020, 3485, 48, 270, 658, 0, 208, 96, 243, 3, 136, 447, 675, 1392, 7, 0, 0, 3946, 225, 31, 1869, 2904, 142, 548, 0, 11, 3, 2, 49, 0, 0, 0, 0, 1498, 577, 0, 1702, 214, 44, 0, 0, 0, 0, 0, 0, 0, 11, 3883, 
110, 4, TimberBoomClearcuts, 2427, 1260, 1246, 4896, 85, 604, 1433, 0, 656, 179, 377, 0, 393, 793, 694, 2889, 7, 0, 0, 4769, 256, 17, 2510, 4133, 158, 352, 0, 6, 60, 13, 96, 0, 0, 0, 0, 2599, 1189, 0, 2807, 2455, 554, 0, 0, 0, 0, 0, 0, 0, 6, 7433, 
110, 1, TimberBoomClearcuts, 3127, 1266, 1875, 9340, 176, 1311, 4094, 0, 1146, 858, 899, 2, 518, 1783, 2183, 7350, 46, 0, 25, 9735, 540, 233, 3766, 7748, 399, 1119, 0, 5, 106, 11, 168, 0, 0, 0, 0, 4895, 2923, 0, 5814, 7876, 2341, 0, 0, 6, 0, 0, 0, 0, 23, 18985, 
110, 2, TimberBoomClearcuts, 2533, 1232, 1829, 8087, 148, 1805, 3404, 0, 1501, 338, 636, 0, 498, 1478, 1731, 5999, 24, 0, 0, 7960, 339, 28, 3504, 6972, 246, 623, 0, 7, 313, 52, 183, 0, 0, 0, 0, 5087, 3039, 0, 5332, 8254, 2256, 0, 0, 0, 0, 1, 0, 0, 14, 16240, 
120, 4, TimberBoomClearcuts, 2545, 622, 611, 2691, 7, 130, 411, 0, 85, 39, 177, 5, 100, 280, 351, 876, 1, 0, 0, 2634, 152, 12, 1127, 1694, 64, 449, 0, 41, 1, 1, 16, 0, 0, 0, 0, 1220, 255, 0, 1631, 148, 24, 0, 0, 0, 0, 0, 0, 0, 12, 2857, 
120, 1, TimberBoomClearcuts, 3368, 3838, 2819, 10687, 260, 1095, 2989, 0, 1069, 707, 1146, 9, 293, 1701, 2201, 7802, 40, 0, 2, 10918, 638, 142, 3998, 8650, 617, 1261, 0, 5, 79, 4, 186, 0, 0, 0, 0, 5606, 2635, 0, 6606, 5659, 1260, 0, 0, 4, 0, 11, 0, 0, 45, 18470, 
120, 2, TimberBoomClearcuts, 2611, 2249, 1977, 8079, 180, 950, 3246, 0, 1164, 271, 635, 1, 1019, 1593, 1059, 5590, 10, 0, 0, 7712, 307, 14, 4157, 7278, 130, 566, 0, 11, 89, 8, 148, 0, 0, 0, 0, 4458, 2050, 0, 4505, 5113, 1254, 0, 0, 4, 0, 1, 0, 0, 9, 14114, 
130, 4, TimberBoomClearcuts, 2522, 877, 636, 3029, 32, 247, 628, 0, 205, 59, 138, 0, 206, 377, 323, 1138, 4, 0, 0, 2608, 140, 5, 1505, 2133, 71, 231, 0, 8, 9, 1, 30, 0, 0, 0, 0, 1600, 451, 0, 1757, 246, 37, 0, 0, 0, 0, 0, 0, 0, 4, 3224, 
130, 1, TimberBoomClearcuts, 3156, 2993, 2507, 8675, 90, 674, 2210, 0, 455, 146, 623, 0, 477, 1277, 1261, 5501, 7, 0, 0, 9096, 623, 87, 3743, 8308, 465, 999, 0, 46, 179, 5, 80, 0, 0, 0, 0, 3785, 1619, 0, 4175, 4535, 956, 0, 0, 0, 0, 0, 0, 0, 32, 15796, 
130, 2, TimberBoomClearcuts, 2454, 3403, 1658, 6972, 83, 1211, 2386, 0, 985, 165, 473, 0, 637, 1070, 725, 4393, 6, 0, 0, 6552, 265, 3, 3704, 6278, 176, 454, 0, 19, 175, 3, 117, 0, 0, 0, 0, 3566, 1671, 0, 3643, 3651, 479, 0, 0, 0, 0, 1, 0, 0, 5, 12044, 
